영단어,한국단어
Starter,시동기
Starting Air,시동공기
Starting Air Reservoir,시동공기 탱크
Starting Engine,시동기관
Starting Test,시동시험
Starting Transformer,시동용 변압기
Starting and Runoff Tabs,용접 착수/완료점의 가이드
Starting electrode,시동전극
Starting voltage,시동전압
Statement,"성명, 담화문"
Static Electricity,정전기
Static Fuel Consumption,정적연료소비량
Static Induction,정전 유도
Static Load,정하중
Static Stability,정적(靜的) 복원력
Statical Stability,정적복원력
Station,스테이션
Station Bill,비상배치(非常配置)표
Station Line,스테이션 라인
Statistical Analysis,통계적(統計的) 분석
Statutory Deck Line,법정갑판선
Statutory Freeboard,법정건현
Statutory Spare Parts,법정(法定)예비품
Stay,선체 내측지주(支柱)
Stay and Shores,선체건조중 지주 (내측/외측)
Steady (Course),스테디
Steady Turning,안정선회
Steady Vessel,안정선
Steady Wind,정상풍
Steam Blast,증기분사
Steam Boiler,증기보일러
Steam Engine,증기기관
Steam Generator,증기발생기
Steam Hammer,증기해머
Steam Heater,증기난방기
Steam Meter,증기미터
Steam Reciprocating Engine,증기왕복동기관
Steam Ship,기선
Steam Siren,증기사이렌
Steam Smothering System,증기 소화장치
Steam Trap,증기 트랩
Steam Turbine,증기 터어빈
Steam Turbine Ship,증기터빈선
Steam Whistle,증기기적
Steel Cutting (S/C),강재 절단(鋼材切斷)
Steel Deck,강갑판
Steel Hatch Cover,강제창구덮개
Steel Hawser,강제 호우저
Steel Ingot,강괴
Steel Ordering,강재 주문
Steel Plate,강판
Steel Ship,강선
Steel Stock Yard,강재적치장
Steel Tower Scaffold,고정식 작업대
Steerable Duct Propeller,조종식덕트프로펠러
Steerage Way,최저조타속력
Steerin Gear Test,조타시험
Steering Committee,운영위원회
Steering Compass,조타컴퍼스
Steering Engine,조타기관
Steering Gear Alarm,조타기경보
Steering Gear Room (S/G Rm),타기실(舵機室)
Steering Quadrant,조타쿼드런트
Steering Rudder,수직타
Steering Test,조타 시험(操舵試驗)
Stem,선수재
Step in the Construction Process,건조공정의 단계
Step-up Gear,증속기
Stepped Bulkhead,유단격벽
Sterilizer,살균소독기
Stern Body,선미부
Stern Bulb,선미단벌브
Stern Bush,선미관(船尾管) 부쉬
Stern Chute,스턴슈트
Stern Construction,선미 구조(船尾構造)
Stern Construction Profile,선미구조도
Stern Engine,선미기관
Stern Frame,선미골재(船尾骨材)
Stern Light,선미등
Stern Line,스턴라인
Stern Ramp,선미(船尾) 램프
Stern Thruster,선미 스라스트
Stern Tube,선미관(船尾管)
Stern Tube Bearing,선미관베어링
Stern Tube Bush,선미관 부시
Stern Tube Cooling Water Tank (S/T C.W.Tk),선미관 냉각용 청수탱크
Stern Tube Gland,선미관글랜드
Stern Tube LubricatingOil {ump,선미관윤활유펌프
Stern Tube Shaft,선미관축
SternTube Nut,선미관너트
Sternpost,타주재
Steward,주방원
Stiffener,보강재
Stiffener (stiff.),보강재(補强材)
Stiffener Member,골재
Stiffening Member,보강재
Still Water,정수
Stinger,스팅어
Stock Anchor,유간대묘
Stock allowance,가공여유(加工餘裕)
Stockless Anchor,스톡리스앵커
Stocktaking,재고조사(在庫調査)
Stone Carrier,돌운반선
Stool,스투울
Stoppage of an operation,작업 중지
Stoppimg Distance,정지거리
Storage Battery,축전지(蓄電池)
Storage of Cut Parts,절단부재 보관
Storm Rail,스토옴 레일
Storm Rail Bracket,스톰레일브래킷
Storm Valve,스토옴 밸브
Stowage Factor,적하율
Stowage Plan,화물적재도
Stowage/ Segregation,위험물 적재 및 격리
Stowaway,밀항자
Stowaways,밀항자
Straight Lined Vessel,직선형선
Straight Poiarity,정극성
Straight Stem,직선선수
Straight Timber,직재
Straightening,곡직(曲直)
Straightning,바로잡기
Strain Gage,스트레인게이지
Strain Hardening,변형경화
Strait,해협
Strake below Sheer Strake,부현측후판
Stranding,좌초 사고(坐礁事故)
Strapped Joint,덮개판 이음
Stream Line,중묘줄
Streamline Rudder,유선타
Strectcher,구급용 들것
Street lighting,가로조명
Strength Deck,강력갑판(强力甲板)
Strength Freeboard,강도건현
Stress Analysis,응력해석(應力解析)
Stress Concentration,응력 집중(應力集中)
Stress Fatigue,응력피로
Stress Relief Heat Treatment,응력제거열처리
Stress Relieving,응력 제거(應力除去)
Stress due to Vibration,진동응력
Striking Plate,스트라이킹 판
String Bead,스트링비드
Stringer Deck,스트링거 데크
Stringer Plate,스트링거 판
Stringer(Stri.),선측 종통재(縱通材)
Stripe Coat,용접부등 선행도장
Stripping Pump,스트리핑 펌프
Stroke,행정
Stroke Volume,행정체적
Strong Beam,특설(特設)비임
Strongback,스트롱백
Structural Detail,구조 상세(構造詳細)
Structural Deterioration,선각구조의 열화
Structural Shape,구조용 형강재
Structural Steel,구조용강(構造用鋼)
Structural accessibility,구조 접근성
Structure Over Upper Deck,상부구조
Structureborne Noise,고체전달 소음(騷音)
Strut Bearing,스트럿베어링
Strutual lighting;,건축화 조명
Stud Bolt,스터드 볼트
Stud Welding,스터드 용접
Stud Welding Machine,스터드 용접기
Stuffing Box,스터핑 박스
Sub-Block Assembly/ Subassembly,중조립(中組立)
Sub-Committee,전문위원회
Sub-Standard Vessel,기준미달선박
Subcontracting Cost,외주 비용(外注費用)
Subcontracting Management,외주관리(外注管理)
Subdivision,구획(區劃)
Subdivision Rule,구획만재흘수선 규칙
Submarine,잠수함(潛水艦)
Submarine Rescue Ship,잠수함구조선
Submarine Signal,수중신호
Submerged Arc Welding,서브머지드 아크용접
Submersible Dredger,잠수준설선
Subordinate,하급자(下級者)
Subsidiary Body for Scientific and Technological Advice (SBSTA),과학기술자문부속기구
Substandard Vessel,기준미달(基準未達)선
Substantially Completed,공사완료 상태(狀態)
Substation,변전소(變電所)
Substitution of the Materials,자재 대체(資材代替)
Subsurface Wave,수면아래파형
Succeeding,후속(後續)의
Successive Ship,후속선(後續船)
Suction,흡입
Suction Drdger,커터리스펌프준설선
Suction Filter,흡입 여과기
Suction Head,흡입 수두(吸入水頭)
Suez Canal Tonnage,수에즈운하톤수
Suez Canal Tonnage Certificate,수에즈운하톤수증서
Suezmax,수에즈막스
Suggestion System,제안 제도(提案制度)
Summation Table,집계표(集計表)
Summer Freeboard,하기건현(夏期乾舷)
Summer Load Line,하기만재흘수선
Summer Tank,하기탱크
Summer Timber Load Line,하기목재만재흘수선
Summer Zone,하계구역
Sunken Forecastle Deck,저선수루갑판
Sunken Superstructure,저선루
Super Block,선행탑재 블록
Super Conducting Quantum,스퀴드
Supercharging,과급
Superheater,과열기(過熱器)
Superintendent,감독
Superintendent Engineer,선주감독기사
Supersonic Type Flow Meter,초음파유량계
Supersonic Type Level Gauge,초음파액면계
Superstructure,선루
Supervisory Control & Data,지역 급전 시스템
Supervisory Training,감독자 훈련
Support,지지물
Support (Supp't),지지대(支持臺)
Support Cap,지주용 캡
Supporting Block,지지용 블록
Surface Acoustic Wave,찬성 표면파
Surface Bend Test,표면굽힘시험
Surface Defect,표면 결함(表面缺陷)
Surface Hardening,표면경화
Surface Inspection,표면검사
Surface Prep. and Painting,전처리 및 도장
Surface Roughness,표면거칠기
Surface Tension,표면장력
Surface Treatment Grade,전처리(前處理) 등급
Surfacing,표면 피복용접
Surge Absorber,서지 흡수기
Surge Generator,서지 발생기
Surge Impedance,서지 임피던스
Surge Tank,서지탱크
Surge Voltage,서지 전압
Surging,서징
Survey Meter,탐사계
Survey Report,검사 보고서
Surveying Ship,측량선
Surveyor / Inspector / Auditor / Investigator,검사관 / 검사원 / 심사관 / 사고조사관
Survival Craft,생존정
Survival Suit,방수및 방온구명복
Suspended Solid,부유 물질(浮遊物質)
Sution Side,흡입면
Swage Bulkhead,스웨지 격벽
Swash Bulkhead,제수 격벽(制水隔壁)
Swaying,스웨잉
Sweat Pipe,스웨트파이프
Swell,너울
Swimming Pool,수영장
Swing Check Valve,스윙 체크밸브
Switch Box,스위치함
"Switchboard, Switchgear",배전반
Swivel,스위블
Swivel Hook,스위블 훅
Swivel Joint,스위블 이음
Symbols,기호(記號)
Symmetrical (sym.),대칭(對稱)
Synchronization,동기화(同期化)
Synchronous Generator,동기 발전기
Synchronous Impedance,동기 임피던스
Synchronous Induction,유도 전동기
Synchronous Motor,동기 전동기
Synchronous Reactance,동기 리액턴스
Synchronous Speed,동기 속도
Synchronous phase,동기 조상기
System,시스템，계통
System-Oriented Work,시스템위주 작업
T/G (Turbo-Generator),터어빈 발전기
TACK WELDING,가용접
TANGENT LINE,탄젠트라인
TANK,액체 저장 탱크
TAR EPOXY PAINT,W.B.TK에 주로 사용되는 PAINT
TBT (Tributyl-Tin)-Based,유기주석계
TCG (Transverse Center of Gravity),횡방향 중심(重心)
TDC (Top Dead Center),상사점(上死點)
TECHNI-GAZ,멤브레인형 LNG선을 개발한 프랑스의 한 회사
TECHNICAL ASSISTANCE,기술지도
TELEGRAPHIC TRANSFER,전신 송금
TEMPERATURE INDICATING,템필스틱
TEMPERATURE INDICATING CRAYONS,템필스틱
TEMPERATURE RELAY,온도 계전기
TEMPERATURE RISE,온도 상승
TENSILE STRENGTH,인장 강도
TERMINAL LUG,단자
TEST LOAD,시험 하중
TEST PRESSURE,시험 압력
TEU (Twenty-Feet Equivalent Unit),컨테이너(20ft) 환산 적재량
TGA,열중량 분석
THE ASSOCIATION OF DANISH SHIPBUILDERS,덴마크 조선공업협회
THE ASSOCIATION OF WEST EUROPEAN SHIPBUILDERS,서유럽 조선공업협회
THE BALTIC AND INTERNATION MARITIME COUNCIL,발틱 국제해운동맹
THE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINESS,"전기,전자 기사회"
THE INTERNATIONAL ENVIRONMENTAL EDUCATION PROGRAM,국제 환경 교육 프로그램
THE INTERNATIONAL TANKER NOMINAL FREIGHT SCALE ASSOCIATION LTD.,LONDON BROKER대표위원회라고도 할 수 있는 협회
THE ITALIAN SHIPBUILDERS ASSOCIATION,이태리조선공업협회
THE JAPANESE SHIPOWNER'S ASSOCIATION,일본선주협회
THE ORGANIZATION OF EUROPEAN ECONOMIC COOPERATION,유럽 경제 협력기구
THE WELDING INSTITUTE,영국 용접 연구 학회
THEORY SPRAY RATIO,이론 도포율
THERMALLY STIMULATED CURRENT,열자극 전류
THERMISTER,서미스터
THERMISTER WATTMETTER,서미스터 전력계
THERMO MECHANICAL CONTROLLED PROCESS STEEL,TMCP 강 (고장력강의 일종)
THICKNESS,두께
THIN FILM TRANSISTOR,박막 트랜지스터
THOUSAND MILLION (TON-MILES),해상동물량 단위로서 10억 TON-MILES이다
THP (Thrust Horse Power),추력마력(推力馬力)
THYRISTOR INVERTER,사이리스터 인버터
THYRISTOR MOTOR,사이리스터 모터
TICAD,도쿄아프리카개발국제회의
TIG (Tungsten Inert Gas Arc Welding) TIG,용접
TIME BASE CORRECTION,시간축 교정장치
TIME COMPRESSION MULTIPLEXING,시분할 방향 제어 전송방식
TIME DELAY,지연시간
TIME DIVISION MULTIPLE ACCESS,시분할 다원 접속
TIME DIVISION MULTIPLEX,시분할 다중방식
TIME SHARING SYSTEM,시분할 방식
TLV(Threshold Limit Value),작업장 오염물질 허용농도(許容濃度)
TMCP(Thermo Mechanical Controlled Process) Steel TMCP,강
TML,운송허용수분치
TOTAL PRODUCTIVE,종합생산보전
TOTAL PRODUCTIVE MAINTENANCE,종합생산보전
TOTAL QUALITY,전사적품질경영
TOTAL QUALITY CONTROL,종합품질관리
TOTAL QUALITY MANAGEMENT,전사적품질경영
TOUCH-UP,"터치업, (도장작업의) 가수 작업"
TPC (Tonnes per Centimeter Immersion),매(每) 센치 배수톤수
TPM(Total Productive maintenance),전사적 설비관리
TQC (Total Quality Control),전사적 품질관리
TRACEABILITY,트레이셔 빌리티
TRANSFORMER,몰드 변압기의 특징
TRANSFORMER CORES,몰드 변압기 코어
TRANSMISSION CONTROL,전송제어
TRANSMISSION CONTROL UNIT,전송제어장치
TRANSMISSIONLOSS COEFFICIENT,송전 손실
TRANSMIT,송신
TRANSMITTER,"전송기, 송신기"
TRANSMITTER DISTRIBUTOR,자동 송신기
TRANSVERSE BULKHEAD,횡 격벽
TRANSVERSE METACENTER ABOVE BASE LINE,횡 METER 센터 높이
"TRANSVERSE, TRANSVERSE BULKHEAD","횡-, 횡격벽"
TRAVEL SPEED,이송 속도
TRAVELLING WAVE TUBE,진행파관
TRIGLYCINE SULFATE,황산 트리글리신
TSL (Techno-Super Liner),초고속선(超高速船)
TSR (Theory Spray Ratio),이론 도포율(塗布率)
TSS,통항분리방식
TSW / CSW,무역싱글윈도우 / 통관싱글윈도우
TUNGSTAN INERT GAS ARC WELDING,TIG 용접 (GTAW의 일종)
TUNGSTAN INERT GAS WELDING,TIG 용접
TURBINE GENERATOR,터빈 발전기
TURBO CHARGER,파급기
TWENTY FOOT EQUIVALENT UNIT,20' CONTAINER (적재수량 측정단위)
TYPICAL,대표적인
Table Type Magnetic Compass,테이블자기컴퍼스
Table of Contents,목차(目次)
Tachometer,회전 속도계
Tacit acceptance,묵시적 수락
Tack Welding,가용접
Tackle,태클
Tacometer Revolution Indicator,회전계
Tact System,택트 시스템
Tail Block,꼬리도르래
Tailshaft,선미축(船尾軸)
Talk Back System,쌍방향통신가능 확성장치
Tally Man,검수원
Tally Office,하역(荷役) 사무실
Tandem Building System,탠덤건조법
Tandem Propeller,탠덤프로펠러
Tandum Launching,탠덤진수
Tank,탱크
Tank Cleaning Heater,탱크클리닝가열기
Tank Cleaning Hole,탱크청소구
Tank Cleaning System,탱크청소장치
Tank Top (T/Top),이중저(二重底)위
Tank Top Plate,탱크정판
Tankage,탱크내적재
Tap Bolt,탭볼트
Tape Measure,줄자
Taper (Tapered) Liner,테이퍼라이너
Taper Bolt,테이퍼볼트
Taper Gauge,테이퍼게이지
Taper Pin,테이퍼핀
Tapping Machine,태핑기
Tar Pintle,타핀틀
Taut Wire Measuring Gear,토트와이어장치
Technical Officer,모델코스 기술담당자
Technical Problem,기술적인 문제
Technical Support,기술 지원(技術支援)
Technical cooperation Fund,기술협력 기금
Technical cooperation consultants,기술협력 컨설턴트
Technological Advances,기술적 진보
Technology Innovation,기술혁신
Tee,티(T)
Tee Joint,티(T)형 이음
Telegraph,텔레그래프
Telemotor,텔레모터
Telephone Booth,전화기 방음상자
Telescopic Mast,신축마스트
Telescopic pipe,신축관
Telltale System,집합경보(集合警報)및 신호 표시장치
Temper Bend Test,가열굽힘시험
Temper Current,템퍼전류
Temperature Controller,온도 조절기
Temperature Deviation Alarm,편차온도경보기
Temperature Relay,온도 계전기
Temperature Rise,온도 상승
Tempilstick (Temperature Chalk),온도감지 쵸크
Template Gage,판게이지
Template for Bending,곡작업용 형판(型板)
Temporary Repair,임시 수리(臨時修理)
Temporary Source of Emergency Power,임시전원
Temporary admission,일시수입
Tender,보급선
Tensile Strength,인장강도
Tensile Stress,인장응력
Tension Test,인장시험
Tentative Rule,잠정 규칙(暫定規則)
Tention Member,인장부재
Terminal Box,단자함
Terminal Lug,단자
Terms and Conditions,이용약관
Test Hammer,검사 해머
Test Head,시험 수두(試驗水頭)
Test Load,시험 하중(試驗荷重)
Test Piece,시험편
Test Piece / Test Specimen,시험편(試驗片)
Testing Machine,시험기
The Joint Group of Expert on the Scientific Aspects of Marine Environmental Protection (GESAMP ),해양환경전문가그룹
The Ocean Cleanup,오션클린업
The Regional Cooperation Agreement on Combating Piracy and Armed Robbery against ships in Asia - Information Sharing Centre (ReCAAP-ISC),아시아해적퇴치협정 해적정보공유센터
The Summary Report,종합 보고서
The Validation Organ,유효화 조직
"The international Convention on the control of Harmful Anti-fouling Systems on ships, 2001",선박유해방오시스템 사용규제 협약
Theodolite,데오돌라이트
Theoretical Throat,목의 이론두께
Thermal Conductivity,열전도도(熱傳導度)
Thermal Efficiency,열효율
Thermal Expansion,열 팽창(熱膨脹)
Thermal Insulation Door,방열문
Thermal Oil,열매체유(熱媒體油)
Thermal Protective Aid,보온복
Thermal Reactor,열중성자로
Thermal Shield,열차폐
Thermal Shock,열충격
Thermal Stress,열응력
Thermally Stimulated Current,열자극 전류
Thermister,서미스터
Thermister Wattmetter,서미스터 전력계
Thermit Welding,테르밋용접
Thermo Paint,온도감지 페인트
Thermocouple,열전대
Thermometer Pocket,온도계 포켓
Thermostat,온도(溫度) 스위치
Thermostatic Expansion Valve,감온(感溫) 팽창밸브
Thimble,딤블
Thin Film Transistor,박막 트랜지스터
Third Deck,제삼갑판
Thorough Examination,정밀검사(精密檢査)
Thread Gauge,나사게이지
Thread Miller,나사밀러
Threading Machine,나사깍는 기계
Three Deck Vessel,삼층갑판선
Three Phase,삼상
Threshold Limit,허용한계(許容限界)
Throttle Valve,스로틀(교축) 밸브
Through Beam,전통보
Through Bracket,관통 브래킷
Through for Steering Chain,조타줄홈
Thrust,추력
Thrust (Shaft) Collar,추력받이칼라
Thrust Block,추력블록
Thrust Breakdown,추력상실
Thrust Pad,드러스트 패드
Thrust Shaft,추력축
Thyristor Inverter,사이리스터 인버터
Thyristor Motor,사이리스터 모터
Tidal Current,조류
Tidal Range,조석(潮汐)의 차이
Tide,조석
Tide Signal Station,조류신호소
Tide Table,조석표
Tie Angle (Bar),타이엘(L)형재
Tie-bolt,타이볼트
Tightness,내밀성(耐密性)
Tile Work,타일 공사
Tiller,틸러
Timber Carrier,목재 운반선
Timber Freeboard,목재만재흘수선
Time Base Correction,시간축 교정장치
Time Compression,시분할 방향 제어 전송방식
Time Delay,지연시간
Time Division Multiple,시분할 다원 접속
Time Division Multiplex,시분할 다중방식
Time Sharing System,시분할 방식
Time Study,시간 연구(時間硏究)
Time of arrival,입항시기
Timing Gear,타이밍 기아
Tinman`s Shears,양철가위
Tip Cavitation,날개끝 캐비테이션
Tip Clearance,날개끝 틈새
Tip Emergence,날개끝 노출
Tip Leakage,날개끝 누출
Tipping Moment,티핑모멘트
ToR (Terms of Reference),위임사항
Toe,토
Toe Angle of an Offset Rudder,중립타각
Toe of Weld,용접끝
Toggle,토글
Toggle Switch,토글 스위치
Tongued Washer,혀붙이 와셔
Tonnage Certificate,톤수증서
Tonnage Deck,측도갑판
Tonnage Duce,톤세
Tonnage Mark,톤수표시
Tonnage Measurement,정량측도
Tons per Centineter Immersion,센티미터당배수톤
Tool Board,공구대(工具臺)
Tool Steel,공구강
Top Bracing,상부(上部) 브레이스
Top-down Approach,하향식방법
Topmast,톱마스트
Topology,위상(位相)
Topping Lift,토핑리프트
Topping Unit,토핑유닛
Topping Winch,토핑윈치
Topside Tank,상부현측(舷側) 탱크
Torch,절단기 화구(火口)
Torch Head,토치 헤드
Torch Lamp,토치램프
Torpedo Net Boom,방뢰망 붐
Torque Breakdown,토크상실
Torque Meter,토크계
Torque Wrench,토크 렌치
Torremolinos Protocol of International Convention for the Safety of Fishing Vessels,토레몰리노스 의정서
Torsion,비듦
Torsion Rigidity,비틂강성
Torsional Vibration,비틀림진동
Torsionmeter,토오션 미터
Tortional Vibration Test,축계비틂 진동시험
Total Inspection,전수검사(全數 檢査)
Total Redidtance,전저항
Total Residual Oxidant (TRO),잔류산화물
Touch Up,칠땜질
Tow Line,토라인
Tow Rope Resistance,예인저항
Towing Arch,예인줄받이아치
Towing Hook,예인용(曳引用) 훅
Towing Log,예항로그
Towing Power,예항력
Towing Rope,예인로프
Towing Tank,예인수조
Towing Winch,예인윈치
Toxic symptom,중독 증상(中毒症狀)
Toxicity,독성(毒性)
Traceability,트레이셔 빌리티
Tracking,추적
Trade Wind,무역풍
Train Ferry,열차도선
Training Ship,연습선
Training Squadron,연습선대
Tramp Ship (Tramper),부정기선(不定期船)
Tramper,부정기선
Transceiver,송수신기
Transducer,변환기
Transeiver,송수신기(送受信器)
Transfer Workers Between Shops,공장간의 작업자이동
Transformer,몰드 변압기의 특징
Transformer Cores,몰드 변압기 코어
Transient,천이
Transit,트랜싯트
Transition Point,천이점
Transmission Control,전송제어
Transmission Control Unit,전송제어장치
Transmissionloss,송전 손실
Transmit,송신
Transmitter Distributor,자동 송신기
Transmitting Compass,발신식컴퍼스
Transom Beam,선미보
Transom Stern,트랜섬선미 (角形 船尾)
Transport document,운송서류
Transverse Bulkhead,횡격벽
Transverse Bulkhead (Transv. Bhd),횡 격벽(橫隔壁)
Transverse Contraction,횡수축
Transverse Frame,횡늑골
Transverse Member,가로 부재
Transverse Metacenter,횡메타센터
Transverse Stability,횡복원력
Transverse Strength,횡 강도(橫强度)
Transverse Web,트랜스버스웨브
Trap,트랩
Traveling Crane,이동크레인
Travelling Crane,주행(走行) 크레인
Travelling Wave Tube,진행파관
Traverse Feed,가로 이송
Trawl Otter Board,트롤망오터보트
Trawl Winch,트롤 윈치
Trawler,트롤선
Treaty,조약
Trend Analysis,추세 분석(趨勢分析)
Trend Line,추세선(趨勢線)
Trial,시운전
Trial Condition,시운전(試運轉) 상태
Trial Conference,시운전 회의 (선주/선급등)
Trial Maneuvering,시험조작
Trial Speed,시운전 속도
Trial and Error Method,시행착오(試行錯誤)법
Triglycine Sulfate,황산 트리글리신
Trim,트림
Trim Weight,트림웨이트
Trim by Bow,선수(船首) 트림
Trim by Stern,선미(船尾) 트림
Trimming Bracket,트리밍브래킷
Trimming Moment,트리밍모멘트
Trimming Table,트리밍표
Trimming Tank,트리밍탱크
Trip Test,트립시험
Triple Screw Vessel,삼추진기선
Triplex Safety Glass,삼중안전유리
Tripping Bracket,트리핑 브래킷
Trnsmission Shaft Loose Joint,전동축신축이음쇠
Trnsponder,트랜스폰더
Trolley,트롤리
Troopship,병력수송선
Tropical Freeboard,열대건현
Tropical Lord Line,열대만재흘수선
Tropical Zone,열대
Trouble Observed,관찰(觀察)된 고장
Trouble Shooting,고장발견방법
True Wind Direction,참풍향
True Wind Velocity,참풍속
Trunk Deck,트렁크갑판
Trunk Hatchway,트렁크창구
Trunk Piston Engine,트렁크피스톤기관
Trunk Vessel,트렁크선
Trunk Way,트렁크웨이
Tucking Allowance,평패널의 용접수축량
Tug Boat,예인선(曳引船)
Tuna Long Liner,다랑어주낙어선
Tuning Wheel,튜닝휠
Tunnel Flat,터널갑판
Tunnel Recess,터널리세스
Turbine,터빈
Turbine Casing,터빈케이싱
Turbine Disk,터빈바퀴
Turbine Pump,터빈펌프
Turbine Rotor,터빈로터
Turbine Wheel,터빈날개바퀴
Turbine generator,터빈 발전기
Turbo Electric Motor Ship,터빈전동기선
Turbo Generator,터빈발전기
Turbo-compressor,터빈압축기
Turbo-electric Drive,터빈전기추진
Turbocharger,터어보과급기(過給機)
Turbulence Stimulator,난류촉진장치
Turbulent Fliw,난류
Turbulent Flow,난류(亂流)
Turbulent Velocity,난류 속도(亂流速度)
Turnbuckle,터언버클
Turning,선회
Turning Force,회전력
Turning Gear,터닝기어
Turning Radius,선회반지름
Turning Round,회두
Turning Wheel,회전륜
Turnkey Base,턴키 방식(方式)
Turntable,턴테이블
Turret,포탑
Turret Lathe,터릿선반
Turret Vessel,터릿선
Tween Deck,중갑판(中甲板)
Tween Deck Cargo Space,갑판간 화물창
Tween Deck Ladder,갑판간사다리
Twin Rudder,쌍타
Twin Screw Vessel,쌍추진기선
Twin-Screw Ship,이축선(二軸船)
Twisting Moment,비틀림 모우먼트
Twisting Test,비틂시험
Two Anchor Mooring,쌍묘박
Two-Stage Pump,이단(二段) 펌프
Type Approval,형식 승인(型式承認)
Typical Detail,기준상세(基準詳細)도
Typoon,태풍
U-Tube,유형관(U 形管)
UCL (Upper Control Limit),관리 상한선
UHF (Ultra High Frequency),극초단파(極超短波)
UL-MD (Underwriters Laboratories- Marine Department),미국공공안전관련 검사기관（해양）
ULCC(Ultra Large Crude Oil Carrier),초대형 원유운반선（３００Ｋ초과）
ULTRA HIGH FREQUENCY,극 초단파
ULTRA LARGE CRUDE OIL CARRIER,"초대형 유조선(300,000 DWT급 이상)"
ULTRASONIC TEST,초음파검사
UMS(Unattended Machinery Space),기관실 무인화등급
UN,국제연합
UN / CEFACT,UN 무역촉진 및 전자상거래 표준화기구
UN MTC,UN 위험물 시험 방법 및 판정 기준 매뉴얼
UN Model Regulations,UN 모델 규정
UN Number,유엔번호
UN TDG,UN 위험물 운송 전문가 위원회
UN/EDIFACT,행정·상업·운송을 위한 전자데이터 교환
UNATTENDED MACHINERY AUTOMATION,KR(한국선급) 무인화 등급
UNATTENDED MACHINERY SPACE,GL(독일 선급) 무인화등급
UNBALANCED CIRCUIT,불평형 회로
UNBALANCED CURRENT,불평형 전류
UNBALANCED LOAD,불평형 부하
UNCLOS,유엔해양법협약
UNCLOS (United Nations Convention on the Law of the Sea),유엔해양법협약
UNDAF,유엔개발원조프레임워크
UNDERWRITERS LABORATORIES INC.,미국 화재보험협회
UNDESA,유엔경제사회처
UNDG,유엔개발그룹
UNDP,유엔 개발 계획
UNEP,유엔 환경 계획
UNEQUAL ANGLE,부등변 형강재(산형재)
UNFCCC,유엔기후변화협약
UNIJUNCTION TRANSISTOR,단접합 트랜지스터
UNINTERRUPTIBLE POWER SUPPLY,무정전 전원장치
UNION ESPANOLA DE CONSTRUCTOR NAVALES,스페인 조선공업협회(87년 설립)
UNIT OF MEASUREMENT,계획 수량
UNITAR,유엔훈련연구기구
UNITED NATIONS,국제 연합
UNITED NATIONS CONFERENCE on TRAD AND DEVELOPMENT,국제연합 통상개발회의
UNITED NATIONS ENVIRONMENTAL PROGRAM,환경보호 문제를 담당하기 위해 만들어진 UN 산하기구
UNITED STATES COAST GUARD,미국 연안경비대
UNITED STATES TRADE REPRESENTATIVE,미국 무역대표부
UNJSPF,유엔합동직원연금기금
UNODC (UN Office on Drugs and Crime),유엔마약범죄사무소
UNSOM,유엔소말리아지원단
UNSP barges,비자항 무인부선
UPPER DECK,상갑판
UPS(Uninterruptable Power Supply),무정전 전원장치
UR (Uruguay) Round,우루구와이 라운드
USCG,미국 해안경비대
USCG (United States Coast Guard),미국 연안경비대
USER'S DESIGN,사용주의설계사양서
USER'S DESIGN SPECIFICATION,사용주의설계사양서
UT (Ultrasonic Test),초음파 탐상 시험
UT : Ultrasonic Test,유티
UV (Ultra Violet) Sterilizer,자외선 살균기
UVP (Under voltage Protection),저전압(低電壓) 보호
UVR (Under voltage Release),저전압 해방 (자동 복귀)
Ullage,얼리지
Ullage Port,유면측정(油面測定)공
Ullage Table,얼리지표
Ultimate Strength,최종강도
Ultra High Frequency,극초단파
Ultrasonic Test : UT,울트라소닉 테스트
Ultrasonic Thickness Gauging,초음파 두께측정
Ultrasonic Welding,초음파용접
Ultraviolet Dosimeter,자외선 측정기
Unattended Machinery Automation Ship : UMA,기관구역무인화선
Unbalance,불평형(不平衡)
Unbalanced Circuit,불평형 회로
Unbalanced Current,불평형 전류
Unbalanced Load,불평형 부하
Unbalanced Rudder,불평형타
Under Construction,건조중(建造中)
Underbead Crack,비드밑 균열
Undercut,언더컷
Underdeck Area,덱크하부 구역
Underground Drainage,지하 배수설비
Underground Water,지하수(地下水)
Underlaying,밑깔기 용접
Underwater Cutting,수중절단
Underwater Inspection,수중검사(水中檢査)
Underwater Observation Boat,해중투시선
Underwater Welding,수중용접
Underwater welding,수중용접(水中熔接)
Underwriter,해상보험업자
Underwriters Laboratories,미국 화재보험협회
Undrewater Telephone,수중통화기
Unequal Angle,부등변 산형강
UniJunction Transistor,단접합 트랜지스터
Uninterruptible Power Supply,무정전 전원장치
Union Joint,유니언연결
Unionmelt Welding,유니언멜트식 용접
Unique tracking number,고유번호
Unit Assembly,소조립(小組立)
Unit Length,단위 길이
Unit Outfitting (Machinery unit/ Pipe Unit),유니트 의장
Unit Switch,유닛스위치
Unit of Scale,척도 단위
Universal Chock,유니버어설 초크
Universal Fairlead,유니버설페어리드
Universal Joint,만능(萬能) 이음
Unlawful practices,불법행위(불법관행)
Unlimited Waters,무제한 수역
Unmanned Control,무인 조정(無人調整)
Unstable Equilibrium,불안정평형
Unsymmetrical,비대칭(非對稱)
