영단어|한국단어|설명
Tightness|타이트니스|수밀 또는 기밀의 정도
Rudder Tiller|타자루|타두재의 위에 붙어 회전력을 전달하는 자루
Bell Buoy|타종부표|일기불순으로 시계가 흐릴 때 종소리를 내주는 부표
Rudder Horn|타주|타를 지지하는 기둥
Sternpost|타주재|타를 받혀주는 부재
Rudder Carrier|타지지부|키캐리어와 동일
Rudder Coupling(Vertical)|타커플링(수직형)|메인피스와 타두재를 수직으로 결함시키는 부분의 커플링 또는 스카프
Rudder Coupling(Horizontal)|타커플링(수평형)|메인피스와 타두재를 수평으로 결함시키는 부분의 커플링 또는 스카프
Rudder Trunk|타트렁크|러더헤드가 선미부를 관통하는 부분에 해수침입을 막기위해 둘려진 케이싱
Tar Pintle|타핀틀|러더암의 앞쪽 끝을 러더포스트에 끼워서 맞물려주는 축
CO2 Gas Shielded-arc Welding|탄산가스 아크용접|피복제나 플럭스가 없이 탄산가스 분위기에서 용접 와이어로 진행되는 아크용접
CO2 Meter|탄산가스미터|CO2 Meter와 같음
Carbon Dioxide Fire Extinguisher|탄산가스소화기|탄산가스를 사용하는 소화기
Carbon Deoxide Scrubber|탄산가스흡수장치|사람이 토하는 탄산가스를 흡수하는 장치
Elasticity|탄성|어떤 물체에 외력에 의하여 생긴 변형이 외력이 제거되면 완전히 사라져 원상으로 돌아가는 성질
Elastic Deformation|탄성변형|탄성범위 안에서 생기는 변형
Elastic Stability|탄성안전성|어떤 구조물이나 부재에 외력이 가해질 때 좌굴이 일어나지 않고 탄성범위 안에서 안정 평형상태를 유지하는 성질
Pre-springing|탄성역변형|부재가 사용될 때 생기는 변형과 반대방향의 변형을 인위적으로 미리 주는 것
Elastic Stress|탄성응력|탄성범위 안에서 일어나는 응력
Resiliant Mount|탄성지지|장비의 진동이 구조물에 전달되는 기진력 요소나 구조물에서 장비로 전달되는 진동을 줄이기 위한 장비지지방식
Elastic Vibration|탄성진동|탄성범위 안에서 일어나는 진동
Elastic Coupling|탄성커플링|입력축의 토크변동을 탄성체에 의하여 흡수하여 출력축으로 동력을 전달하는 장치
Elastic After-effect|탄성후기효과|항복점 이상의 응력으로 생겼던 영구변형이 시간이 지남에 따라 점차로 사라지는 현상
Carbon Steel|탄소강|탄소의 함량이 0.035~1.7%인 철강
Carbon Electrode|탄소봉전극|탄소로 만들어진 전극
Carbon Brush|탄소브러시|탄소로 된 전기접촉자
Carbon Arc Welding|탄소아크용접|탄소전극과 모재 사이 또는 탄소전극 간의 아크발생열로 모재를 녹여 붙이는 방법
Carbon Arc Cutting|탄소아크절단|탄소전극과 모재간에 아크를 발생시켜 그 열로 모재를 용융 절단하는 방법
carburization|탄소첨가|철강의 탄소함유량을 증가시키는 처리
Carburization|탄화|열과 압력 등의 작용으로 물질 내의 산소량이 감소되고 상대적으로 탄소가 증가되는 현상
Carbonizing Flame|탄화불꽃|유리탄소를 포함하는 환원성의 가스불꽃
Carburizing Flame|탄화염|산소-아세틸렌 불꽃에서 산소보다 연료가스공급이 많아서 불완전 연소된 탄소가 많아진 불꽃
Withdrawal of Classification|탈급|선급에 등록된 선박이 선급유지조건을 어겼거나 또는 다른 사정으로 선급선 자격을 포기하는 것
Deaeration|탈기|수중에 용해된 공기를 제거하는 것
Dihumidification|탈습|공기 중의 습기를 제거하는 것
Air Dryer|탈습기|공기 중의 습기를 제거하는 장치
Dihumidifier|탈습제|공기 중의 습기를 흡수하여 감소시켜주는 약재
Escape Scuttle|탈출구|비상시에 배 밖으로 탈출하도록 만든 출구
Escape Trunk|탈출통로|비상시에 축로 또는 기관실에서 노천갑판으로 탈출할 수 있게 만든 수직통로
Whale Scouting Vessel|탐경선|고래가 있는 곳을 찾아서 포경선에 알려주는 배
Survey Meter|탐사계|모니터링을 위하여 방사선을 측정 검출하는 계기
Searchlight ( Projector)|탐조등|수로조명이나 모스신호를 보내는 등기구
Detector|탐지기|물건의 존재나 사태의 발생을 찾아내는 기계
Erection|탑재|신조선대(Building Berth)나 독(Building Dock)에서 행해지는 선각공사의 총칭으로 지상 조립장에서 완성된 선각블록(Hull Block)들을 차례로 연결시켜 선체를 완성함.
Gate|탕구|용해된 금속을 형틀에 주입하는 입구 또는 부어 넣는 통로
Tackle|태클|도르래와 로프를 조합한 장치
Typoon|태풍|남양과 남지나해상에서 발생하는 최대풍속 34knot 이상인 폭풍우
Tapping Machine|태핑기|탭을 이용하여 암나사를 세워 주는 공작기계
Tandem Building System|탠덤건조법|두 척 이상의 배를 같은 선대나 독에서 동시에 건조하는 건조방식
Tandum Launching|탠덤진수|두 척 이상의 배를 같은 선대나 독에서 동시에 진수하는 방식
Tandem Propeller|탠덤프로펠러|한 축에 두 개 이상의 프로펠러를 달고 같은 방향으로 회전하는 프로펠러
Tap Bolt|탭볼트|나사 끝이 관통되어 반대편으로 나오지 않도록 짧게 하여 구멍에 파묻히는 나사
Dangerous Space in a Tanker|탱커의 위험장소|가연성유류나 가스를 운송하는 탱커에서 폭발성 가스나 가연성 증기가 발생할 염려가 있는 장소
Tank|탱크|액체를 저장하는 그릇
Tankage|탱크내적재|탱크에 액상화물을 적재하는 것
Tank Top Plate|탱크정판|탱크의 상부를 구성하는 판재
Tank Cleaning Hole|탱크청소구|탱크청소를 위해 위에 뚫어 놓은 구멍
Tank Cleaning System|탱크청소장치|기름탱크를 청소하는 장치
Tank Cleaning Heater|탱크클리닝가열기|탱크청소용 해수를 가열하는 장치
Rudder Gudgeon|터거젼|타를 지지하기 위하여 선미나 타기둥 뒤로 돌출되어 핀들과 연결된 부분
Tunnel Flat|터널갑판|축로의 마루판
Tunnel Recess|터널리세스|축로의 최후단을 약간 넓게 만든 공간
Turning Gear|터닝기어|주기가 정지되어 있을 때 프로펠러축을 돌려 주는 장치
Turret Vessel|터릿선|선측외판과 갑판이 각도가 없이 둥글게 연결되고 갑판 중앙을 종통하여 터릿이 설치된 선박
Turret Lathe|터릿선반|절삭에 필요한 공구를 선반의 베드 위에 설치된 공구 지지대에 끼워 놓고 돌려 가며 사용하는 구조의 선반
Turbine|터빈|가스나 증기의 동압력으로 회전날개를 돌림으로써 동력을 얻는 원동기
Turbine Wheel|터빈날개바퀴|바퀴 둘레에 터빈날개를 끼운 회전바퀴
Turbine Rotor|터빈로터|터빈의 주회전체
Turbine Disk|터빈바퀴|둘레에 터빈날개를 붙이는 날개바퀴의 본체
Turbo Generator|터빈발전기|터빈으로 구동되는 발전기
Turbo-compressor|터빈압축기|소용돌이 케이싱 안에 소용돌이모양 날개가 배치되어 돌아가는 원심압축기의 일종
Turbo-electric Drive|터빈전기추진|터빈으로 구동되는 발전기의 출력을 추진축과 일체로 된 전동기에 공급하여 추진하는 동력전달방식
Turbo Electric Motor Ship|터빈전동기선|터보발전에 의한 전력으로 모터를 돌려 추진축을 돌려서 추진하는 선박
Turbine Casing|터빈케이싱|터빈의 회전바퀴를 내장하는 케이싱
Turbine Pump|터빈펌프|날개바퀴 둘레에 안내바퀴가 있는 소용돌이펌프
Joggling (Lap) Joint|턱붙임(걸침)이음|①턱붙임공작을 하여 접촉부가 밀착되게 한 이음형식  ②판과 판을 이을 때 이음부가 밀착되게 하기 위해서 단을 지어주는 공작
Joggling Machine|턱붙임기계|판재나 형재에 죠글링을 지어주는 기계
Turntable|턴테이블|컨베이어의 방향이 바뀌는 지점에 설치되어있는 회전원반으로 된 컨베이어
Thermit Welding|테르밋용접|테르밋의 열현상을 이용하는 용접법
Table Type Magnetic Compass|테이블자기컴퍼스|테이블 위에 장치하는 비너클을 비치한 자기 컴퍼스
Taper Gauge|테이퍼게이지|구배가 있는 판 또는 봉에 눈금을 새긴 차
Taper (Tapered) Liner|테이퍼라이너|테이퍼가 있는 쐐기형상의 라이너
Taper Bolt|테이퍼볼트|원추형으로 테이퍼가 진 볼트
Taper Pin|테이퍼핀|원추형으로 테이퍼가 진 핀
Telegraph|텔레그래프|엔진텔레그래프와 동일
Telemotor|텔레모터|조타실에서 조타기를 원격제어하는 기계
Temper Current|템퍼전류|용접에 의해서 경화되는 재료의 저항용접 후에 경화를 해소하기 위하여 일정시간 후에 흘려주는 가열전류
Toe|토|용접 단면에서 모재와 용착금속이 만나는 곳
Toggle|토글|로프 끝 아이에 끼워서 로프를 멈추는데 사용되는 원추형 긴 막대
Toggle Switch|토글스위치|손잡이를 상 하로 움직여 회로를 개폐시키는 스위치
Tow Line|토라인|선박을 예인할 때 사용하는 로프 또는 와이어
Torch Head|토치 헤드|용접 및 절단 토치의 끝으로 팁이 끼워지는 자리가 있는 부분
Torch Lamp|토치램프|경납땜 작업에 사용되는 일종의 가스버너
Torque Meter|토크계|회전축의 토크를 측정하는 계기
Torque Wrench|토크렌치|볼트의 체결토크가 정해진 곳에 사용되는 렌치로 정해진 토크 이상의 회전력이 걸리면 공전함
Torque Breakdown|토크상실|과도한 캐비테이션을 일으키는 프로펠러에서 토크가 소멸되는 현상
Taut Wire Measuring Gear|토트와이어장치|해저에 내린 중추와 긴장와이어를 이용하여 상대 지상속도를 측정하는 장치
Topping Lift|토핑리프트|데릭붐이 각도를 유지하며 세워 지도록 잡아 주는 로프
Topping Winch|토핑윈치|데릭붐이 일정한 각도를 유지하도록 토핑리프트를 감아주는 전용윈치
Topping Unit|토핑유닛|하역윈치의 동력을 이용하여 토핑리프트를 감아줌으로써 데릭붐의 각도를 일정하게 유지해 주는 장치
Tonnage Duce|톤세|배가 입항할 때 톤수에 따라서 징수되는 세금
Tonnage Certificate|톤수증서|공인관청에서 발급하는 톤수에 대한 증서
Tonnage Mark|톤수표시|전통갑판이 2층 이상인 선박에서 제2갑판을 측도갑판으로 할 때 측도갑판과 위갑판 간의 공간을 톤수에서 제외한다는 표시로 정해진 위치에 그려지는 표지
Topmast|톱마스트|포어마스트에 세워지는 상부 구조물
Port of Entry|통관항|세관이 설치되어 있는 항구
Vent (Hole)|통기구멍|유류운반선의 해치커버에 통기를 위해 마련된 구멍
Corridor Bulkhead|통로격벽|통로의 칸막이벽
Matting Runner|통로용매트|발소리를 죽이고 미끄럼을 막기 위해 까는 통로깔개
Sampan Signaling Light|통선등|선박에서 통선을 부를 때 비추는 녹색 등기구
Water Supply Test|통수시험|배관 의장공사 완료 후 이상유무를 확인하기 위해 실시하는 물청수 또는 해수계통의 유통시험
Communication Tube|통신통|압축공기를 이용하여 통신지를 직접 보내주는 공기배관
Canning Factory Ship|통조림공장선|포획한 생선을 통조림하는 설비를 갖춘 선박
Draft Gauge|통풍계|통풍력의 세기를 나타내는 계기
Ventilation Plan|통풍관배치도|선박의 자연통풍과 인공통풍용 통풍관의 배치와 상세를 나타낸 도면
Vetilation Cock|통풍콕|통풍량을 조절하는 콕(잠금꼭지)
Ventilation Trunk|통풍트렁크|송풍기류를 보내기 위한 풍로
Ventilating Flap|통풍플랩|기과실 통풍을 위해 천장에 설치하는 힌지식 개폐창문
Projector|투광기|광원에서 발산되는 광선을 평행하도록 모아 멀리까지 가도록 한 조명기구
Let-go-anchor|투묘|닻을 바다에 던지는 것
Permiability|투수율|침수율과 같음
Anchoring Test|투양묘시험|양묘장치의 전반적 성능과 닻을 올리고 내리는 것과 수납상태 등을 확인하는 시험
Projection|투영|물체에 평행투시광선을 빚추어 반대편 평면에 나타나는 영상
Spatter|튕김|아크용접에서 용융금속이 아크압력으로 입자모양이 되어 아크분위기 밖으로 튀어 나가는 것
Spatter Loss|튕김손실|튕김현상으로 인한 용착금속의 손실량
Tuning Wheel|튜닝휠|크랭크축의 비틀림진동 등을 줄여 주기 위하여 축의 전단부에 붙여 주는 관성바퀴
Transverse Web|트랜스버스웨브|종늑골구조에서 일정간격의 횡방향으로 붙여진 강력 지지판재
Trnsponder|트랜스폰더|해상무선에 의해 항해용으로 이용하는 송수신장치
Trap|트랩|증기손실 없이 드레인을 배출하기 위해 설치한 장치
Trunk Deck|트렁크갑판|트렁크선의 트렁크 위에 덮인 갑판
Trunk Vessel|트렁크선|중소형 유조선에서 볼 수 있는 것으로 상갑판 중앙부를 전통하는 트렁크가 올라와 있는 선형
Trunk Way|트렁크웨이|트렁크모양의 통로
Trunk Hatchway|트렁크창구|여객선에서 갑판창구를 거주공간과 구분하기 위해서 위벽으로 둘러싼 화물통로
Trunk Piston Engine|트렁크피스톤기관|피스톤과 크랭크축이 피스톤봉을 거치지 않고 직접 연접봉으로 연결된 기관
Trawl Otter Board|트롤망오터보트|트롤선에서 어망을 벌려 주기 위하여 사용하는 판
Trawler|트롤선|어망을 해저에 늘어뜨려 선미나 선측에서 로프로 끌어 고기를 잡는 어선의 총칭
Trawl Winch|트롤윈치|트롤어선에서 투망과 양망에 사용되는 윈치
Trimming Moment|트리밍모멘트|배의 트림을 변경시키는 데 필요한 모멘트
Trimming Bracket|트리밍브래킷|거더나 웨브 판재가 넘어지는 것을 막아주는 브래킷
Trimming Tank|트리밍탱크|선수와 선미탱크 만으로 트림 조정에 부족하여 선수미 부근에 추가로 설치하는 탱크
Trimming Table|트리밍표|배에서 화물을 싣고 내릴 때에 수반되는 트림변화를 각 흘수에 대하여 미리 계산하여 작성한 도표
Trim Weight|트림웨이트|트림조정에 사용되는 이동 중량물
Trip Test|트립시험|과부하계전기 등에 붙은 차단장치의 동작시험
Open Roadstead|트인정박지|자유정박지와 동일
Widely Spaced Hold Beam|특설창내빔|특설기둥이 세워지는 위치에 설치되는 창내강력빔
Special Service Ship|특수작업선|해상에서 생기는 여러 종류의 특수작업에 사용되는 선박들의 총칭
Enclosed Portable Type Cargo Light|특수하역등|석탄운반선의 선창조명에 사용되는 진폐형 이동식조명기구
Guided Bend Test|틀굽힘시험|시험편을 틀에 넣고 압력을 가하는 굽힘시험
Guided Cutting Apparatus|틀절단장치|절단토치를 형틀에 따라 이동시켜서 정해진 모양으로 절단하는 자동절단장치
Distance Piece|틈메움쇠|두 물체 간의 간격을 일정하게 유지시켜 주는 중간조각
Enclosed Ceiling|틈없는내장|나무판재를 틈 없이 붙이는 내장방식
Tee|티(T)|세 토막의 관을 T자형으로 연결할 때 사용되는 이음관
Tee Joint|티(T)형 이음|두 개의 판을 연결할 때 한 판을 세워서 다른 판 위에 올려놓고 접합하는 T모양 이음
Tipping Moment|티핑모멘트|선체 중앙을 전후방향으로 이동하여 트림에 변화를 주는 모멘트
Tiller|틸러|타에 회전역을 전달하는 부재
Cutting Tip|팁|가스용접이나 가스절단 토치 끝에 붙어 불꽃을 뿜는 금속(또는 세라믹)으로 된 화구
Electrode Tip Holder|팁 홀더|저항용접에서 전극 팁을 잡아주는 부분 또는 장치
Wave|파|물의 자유표면이 교란되어 발생한 물결
Breaking Strength|파강도|물체가 파괴되는 하중상태에 이를 때의 응력
Wave Height|파고|파정과 파정 사이의 수직거리
Wave Steepness Ratio|파기울기|파고와 파장과의 비
Panama Canal Signal Light|파나마운하신호등|파나마운하규정에 따라 선박이 야간에 운하를 지날 때 양현에 켜야하는 등기구
Panama Canal Tonnage|파나마운하톤수|파나마운하 통행료의 기준이 되는 파나마운하 규정에 따르는 톤수
Panama Chock|파나마촉|파나마운하 통행규칙에 맞게 달린 촉
Wave Period|파도주기|파도가 단위파장을 진행하는 데 걸리는 시간
Paravane|파라베인|수중에 설치된 기뢰를 소거하는 데 사용되는 기구
Bursting|파열|내압에 의한 원주방향의 응력으로 용기 벽이 터지는 것
Bursting Pressure|파열압|용기가 파열하게 되는 내압
Pounding|파운딩|배가 항주중에 피칭으로 인하여 선수부 바닥이 해면을 치는 현상
Pipe Shop|파이프공장|파이프를 가공 조립하는 공장
Pipe Thread|파이프나사|주로 가스관의 연결에 사용되는 지름에 비하여 피치가 조밀한 나사
Pipe Wrench|파이프렌치|파이프를 잡아 손으로 돌릴 때 사용하는 공구
Pipe Scaffolding|파이프발판|금속제 파이프를 세워서 만든 발판
Pipe Band|파이프밴드|파이프를 고정하는 데 쓰는 속박밴드
Pipe Pulling Out Device|파이프인발장치|해저에 박아놓은 케이싱파이프를 뽑아내는 장치
Pipe Supporting Gear|파이프지지장치|케이싱파이프를 압입하거나 뽑아낼 때 지지해 주는 장치
Pipe Tensioner|파이프텐셔너|부설관이 수중에서 자중과 외력에 의하여 굽어 지는 것을 막기 위하여 적당한 장력을 주는 장치
Piling Barge|파일링선|해저에 파일을 박는 장치를 갖춘 선박
Wave Length|파장|연속하는 두 개의 파정과 파정 사이의 수평거리
Wave Shearing Force|파전단력|파도와 배의 운동에 의해 선체 횡단면에 작용하는 전단력
Wave Crest|파정|파에서 가장 높은 부분
Mean Increase in Power in Waves|파중평균동력증가|파도와 바람이 있는 해상을 정수중에서와 동일한 속력으로 항주하기 위하여 필요한 동력의 평균증가량
Mean Increase in Rate of Revolutions in Waves|파중평균회전수증가|파도와 바람이 있는 해상을 정수중에서와 동일한 속력으로 항주하기 위하여 증가시켜야 하는 회전수 변화율의 평균값
Holding Power|파지력|투묘된 닻이 해저에 박혀 받을 수 있는 수평저항력과 늘어져서 바닥에 닿아 있는 닻줄이 받을 수 있는 저항력을 합친 것
Wave Frequency|파진동수|파의 원진동수 또는 파주기의 역수
Parkerizing|파커라이징|방청을 위하여 철강표면에 인산염 피막처리를 하는 것
Corrugated Bulkhead|파형격벅|평판에 보강재를 붙이는 대신에 판 자체의 파형굽힘으로 강도를 유지한 유밀 또는 수밀격벽
Template Gage|판게이지|다듬질치수를 재는 판자모양의 테이퍼게이지
Sheet Bender|판굽히개|박판을 굽히는 공작기계
Plate Stem|판선수재|강판을 굽혀서 만든 선수재
Plate Straightning Roller|판펴기롤러|판의 변형을 교정하여 바르게 펴주는 롤러장치
Panel Fitting|패널공사|내장판을 붙이는 공사
Pnel Breaker|패널브레이커|배전반 등에 붙은 회로차단기
Panel Work|패널작업|전기패널에 기구를 연결하는 작업
Panel Vibration|패널진동|평판이나 패널구조의 진동
Fashion Plate|패선판|선수재판(Stem Platte)상단의 벌어진 부분의 별칭
Pass Sequence|패스순서|용접비드를 넣는 순서
Packing Stick|패킹경화|패킹이 어떤 원인으로 굳어져 압축에 의한 밀착성이 상실되는 것
Packing Ring|패킹링|고리모양으로 된 패킹
Facsimile|팩시밀|서류나 도면을 송신하는 장치
Panting|팬팅|배가 거친 바다 위를 항진할 때 물결이 선수부에 부딛쳐서 주는 국부충결
Panting Arrangement|팬팅구조|팬팅에 대하여 특별히 보강된 선수부 구조
Panting Action|팬팅작용|팬팅으로 인한 충격작용
Expansion|팽창|물체의 길이나 부피가 처음보다 늘어나는 현상
Expanded Metal Grating|팽창격자|강재의 틀에 팽창메탈을 끼워 만든 격자
Dialatometer|팽창계|물질의 팽창량을 측정하는 계기
Inflatable Laft|팽창구명뗏목|해면에 투하되면 자동적으로 팽창되는 구명뗏목
Expansion Engine|팽창기관|기체의 팽창현상을 이용하여 열에너지를 유용한 기계적 에너지로 변환하는 기관
Expansion Tank|팽창탱크|온도상승으로 생기는 액체의 팽창을 감안하여 최상부에 대기와 접한 상태로 설치한 탱크
Ecpansion Stroke|팽창행정|내연기관에서 연료연소 후 가스가 팽창되는 행정
Furing|퍼링|내장판을 붙이기 위해서 갑판 빔이나 위벽 스티프너에 붙여주는 좁고 긴 판재
Putty Pump|퍼티펌프|틈새를 퍼티로 메꿀 때 퍼티를 밀어내주는 펌프
Punch|펀치|공작물에 충격이나 압력을 가해 구멍을 뚫어주는 공구 또는 장치
Punching Machine|펀칭머신|재료에 펀치를 눌러 구멍을 뚫어주는 기계
Pulsed Arc Welding|펄스 아크용접|불활성가스 아크용접에서 전류를 맥동으로 흐르게 하면서 진행하는 용접
Pump|펌프|유체의 압력을 변화시키는 기계장치
Pump-jet|펌프제트|프로펠러면에 유입되는 유속을 줄여주는 덕트가 달린 추진장치
Punkah-louvre|펑커루버|통풍덕트 출구에 붙어 풍량을 조정하는 조리개장치
Penetration|페네트레이션|용입 참조
Fairing|페어링|선체선도상의 곡선들을 무리없는 곡선(Fair Curve)이 되도록 수정하는 작업
Paint Scraper|페인트긁개|페인트칠을 긁어 내는 도구
Fail-safe|페일세이프|기계장치가 고장이 생겨도 안전모드로 바뀌어져서 작동하는 것
Faying Flange|페잉플랜지|형재를 판에 세워붙일 때 판에 접하도록 붙이는 플랜지
Fender Tower|펜더타워|푸셔바지(Pusher Barge)에서 푸셔와 바지의 연결부에 있는 탑모양의 완충구조물
Drift Angle|편류각|선체중앙선과 선체운동 방향선이 이루는 각
Segrigation|편석|용융금속이 응고될 때 용해점이 낮은 불순물이 응고가 늦은 부분에 모이는 현상
Eccentric Wheel|편심륜|왕복동기구의 크랭크축에 연결되어 편심운동을 일으키는 부분
Eccentric Load|편심하중|물체중심에서 벗어난 위치에 가해지는 하중
Deviation Alarm|편차경보|정확을 기하기 위해 설치한 여러 개의 컴퍼스 간의 방위차가 한도 이상으로 나타날 때 내는 경보신호
Temperature Deviation Alarm|편차온도경보기|다기통 내연기관에서 실린더 간의 온도차가 설정치 이상으로 생길 때 내주는 경보신호
Flat Bar Grating|평강격자|평강으로 만든 틀에 평강 살을 끼워 만든 격자
Mean Speed|평균속력|항주한 거리를 시간으로나눈 값
Course Steered|평균침로|선박이 항주하는 동안에 변경되는 침로각의 평균치
Mean Pitch|평균피치|유효피치와 같음
Plan Bracket|평면브래킷|두 부재의 연결부에 부착되는 보강용 삼각평판
Plan Scarf|평면스카프|두 부재의 연결부를 비스듬히 깎아 맞추어 접합시키는 이음
Flash Fillet Weld|평면필릿용접|용접 비드가 튀어나오지 않고 납작하게 되도록 덧살(Reinforcement)을 붙이지 않는 필릿용접
Plan Sailing|평면항법|지구 표면을 평면으로 보고 배의 위치를 계산하는 항법
Planing Machine|평삭기계|고정된 절삭날 밑으로 공작물이 테이블에 고정되어 테이블이 왕복하면서 공작불의 표면을 절삭하는 공작기계
Planomiller|평삭밀러|대형 공작물을 테이블에 고정하여 왕복운동을 하게 하면서 절삭칼날로 공작물의 상면과 측면을 절삭하는 기계
Flush Weld|평용접|용접 비드가 모재표면보다 올라오지 않도록 덧살(Reinforcement)을 붙이지 않은 맞대기용접
Flat Bottom|평저|평편한 모양의 배바닥
Half-siding|평저부반폭|임의의 횡단면에서 측정한 기저면에 접하는 부분의 반쪽
Plain Trolley|평트롤리|레일 위를 바로나 거꾸로나 달려 이동할 수 있는 바퀴달린 차
Plate Keel|평판용골|선저의 중심선에 붙은 두꺼운 종통 외판재
Blanced Rudder|평형타|타면이 받는 압력중심이 타의 회전축 근방에 오도록 만든 타
Closed Fair-leader|폐쇄형페어리더|위가 막혀있는 모양의 페어리더
Waste Heat Boiler|폐열보일러|배기속에 남은 열을 이용하여 증기를 발생시키는 보일러
Waste Heat Recovery System|폐열회수시스템|주기의 배기가스나 냉각수 등에서 폐열을 회수하여 유용하기 위한 시스템
Oily Sludge Burning Auxiliary Boiler|폐유연소보조보일러|폐유를 연소시켜 증기를 발생시키는 보조보일러
Waste Oil Treating Device|폐유처리장치|폐유를 화학적 처리법이나 소각법으로 처리하는 장치
Whale Mother Ship|포경모선|고래 처리공장이 설치되어있으며 선원의 휴양설비를 갖추고 포경선에 소모품을 공급하는 등의 역할을 하는 대형선
Whale Winch|포경윈치|포경포가 발사한 작살 로프를 감아올리는 윈치로 중량물 인양도 가능함
Gun Metal|포금|구리 90%와 주석 10%로 이루어진 동합금
Porosity|포로시티|다공성 참조
Form Fire Extinguishing System|포말소화장치|거품을 뿜어 소화하는 장치
Post-heating|포스트히팅|후열 참조
fore Mast|포어마스트|가장 앞쪽에 위치한 마스트
Barbette|포장갑|군함의 포탑주변 장갑구조
Gun Platform|포좌|포가 설치되는 대
Turret|포탑|주위와 윗부분을 장갑판으로 둘러 싼 포 및 포수 보호장치
Porpoising|포포이징|활주형고속정에 발생하는 주기적인 종동요
Poppet Pressure|포핏압력|진수중 포핏에 걸리는 압력으로 선수포핏의 압력은 선미부양이 시작될 때 최대가 됨
Breath Length Ratio|폭길이비|배의 형폭과 수선간 길이의 비
Breath Depth Ratio|폭깊이비|배의 형폭과 형심의 비
Explosion|폭발|급격한 산화작용의 일종으로 팽창과 발열 등이 수반되는 현상
Explosive Welding|폭발용접|화약의 폭발에 의한 충격압력으로 접합하는 용접법
Run Away|폭주|원자로의 운전에서 제어할 수 없이 급격히 출력이 상승하는 사고
Blast|폭풍|폭발에 의해 생기는 강한 바람
Huricane Lamp|폭풍등|심한 바람에도 꺼지지 않게 만든 석유등
Breadth Draft Ratio|폭흘수비|배의 형폭과 형흘수의 비
Pontoon Type Hatch Cover|폰툰해치커버|일정한 크기의 상자형 덮개로 배의 데릭이나 크레인의 도움으로 여닫도록 되어있음
Surfacing|표면 피복용접|금속 표면에 다른 종류의 금속을 용착시키는 것
Surface Roughness|표면거칠기|금속표면의 거친 정도
Surface Inspection|표면검사|표면결함을 조사하는 검사
Surface Defect|표면결함|표면에 생긴 결함
Surface Hardening|표면경화|열처리방법 등으로 금속표면을 경화시키는 것
Face Bend Specimen|표면굽힘 시험편|맞대기 용접의 표면(루트의 반대쪽)에 인장력이 걸리도록 굽히는 시험편
Surface Bend Test|표면굽힘시험|맞대기이음 용접부에서 비드의 표면이 바깥쪽으로 오게하는 굽힘시험
Girth|표면길이|선체의 표면을 따라 잰 두 점 간의 최단거리
Surface Tension|표면장력|서로 섞이지 않는 두 유체의 경계면 사이에서 유체로 된 엷은 막이 인장을 받을 때와 같은 성질을 보이는 물리적 현상
Beacon Station|표시국|무선신호를 발사하여 선박의 위치측정을 돕는 무선국
Bell with a Pilot Lamp|표시등붙이벨|벨이 울리는 동시에 등이 켜지는 장치
Horn Buzzer with a Pilot Lamp|표시등붙이부저|혼부저가 울리는 동시에 등이 켜지는 장치
Gong with a Pilot Lamp|표시등붙이징|징이 울리는 동시에 등이 켜지는 장치
Gauge Length|표점간거리|인장시험편 표면에 각 시험규격에 따라서 인각된 두 점 사이의 거리
Milepost|표주|해상시운전시에 속력시험에 사용하기 위하여 해안에 설치한 표시기둥
Measured Mile Trial|표주간속력시험|배의 속력측정을 위해서 세워둔 해안 표주 사이를 달리는 시험
Standard Compass|표준나침반|선박의 컴퍼스 중 기준이 되는 자기컴퍼스
Standard Voltage|표준전압|기기를 표준화하고 선내배전체계를 단순화하고 호환성을 높이기 위한 전압의 통일화
standard Deviation|표준편차|평균값과의 편차들을 제곱한 값들의 평균값의 제곱근
Standard Salt Water|표준해수|3.5%의 염분을 포함하며 섭시15도일 때의 비중이 1.026이 되는 물
Standard Sheer|표준현호|선박의 만재흘수선규정에서 표준으로 정한 현호
Standard Fire Test|표준화재시험|선박방화구조기준에 따라 주어진 시간과 온도관계가 구비된 상태에서 행하는 화재시험
Pulley|풀리|로프나 벨트를 걸어 돌리는 바퀴
Forge and Bellow|풀무|대장간에 쓰는 가열로에 바람을 보내는 왕복동 송풍장치
Wind Tunnel Tedt|풍동시험|공기중의 운동체에 대한 유체역학적인 관찰과 계측을 위한 시험
Wind-generated Wave|풍랑|바람에 의해 발생한 물결
Aerovane|풍량풍속계|풍향과 풍속의 수평성분을 동시에 잴 수 있는 계기
Anemometer|풍속계|풍속을 재는 계기
Weather Tight|풍우밀|비바람이 새지 않는 것
Weather Tight Door|풍우밀문|노출부 벽에 설치되어 비바람과 해수가 새지 않는 구조로 된 문
Wind Direction|풍향|바람이 불어오는 방향
Anemoscope|풍향계|풍향을 재는 계기
Fuse Switch|퓨즈스위치|퓨즈를 부착한 나이프스위치
Bureau Veritas : BV|프랑스선급협회|프랑스의 선급협회
Press-to-talk System|프레스투토크방식|누름버튼에 의해 송수신을 바꾸는 상호통화방식
Projection Welding|프로젝션 용접|금속부재간의 접합 장소에 돌기부를 형성시켜 여기에 전류와 압력을 가하여 비교적 적은 전류로 접합하는 일종의 저항용접
Floodlighting Projector|프로젝터|반사경과 렌즈 등을 사용하여 일정한 방향으로 높은 광도로 비춰주는 조명기구
